Sample,Rb [ppm],Rb_error,Sr [ppm],Sr_error,87Rb/86Sr,Rb/Sr_error,87Sr/86Sr,2_sigma,1_sigma
CC 02,0.24,0.002,348,5.2,0.002,0.000,0.717130,0.000280,0.000140
DX 01,1.2,0.010,118,1.8,0.03,0.000,0.714650,0.000090,0.000045
DX 02,1.31,0.010,16.6,0.2,0.23,0.002,0.714373,0.000240,0.000120
TD 01,1.06,0.008,10.6,0.2,0.29,0.002,0.719440,0.000480,0.000240
