Sample,Rb [ppm],Rb_error,Sr [ppm],Sr_error,87Rb/86Sr,Rb/Sr_error,87Sr/86Sr,2_sigma,1_sigma
WR 64,95.2,1,142,2.1,1.94,0.014,0.714310,0.000140,0.000070
WR 65,169,1,892,13.4,0.55,0.004,0.710340,0.000110,0.000055
